	iYLI649_ID	iYLI649_Name	iYali_ID	iYali_Name	iYli21_ID	iYli21_Name
560	MCCC	3-methylcrotonyl-coa carboxylase	y300048	3-methylcrotonyl-CoA carboxylase	R1972	3-methylcrotonyl-CoA carboxylase
561	2OHPH_5tn	2 Octaprenyl 6 hydroxyphenol nuclear transport			R2249	2 Octaprenyl 6 hydroxyphenol nuclear transport
562	2OMPH_5tn	2 Octaprenyl 6 methoxyprenol nuclear transport			R2249	2 Octaprenyl 6 hydroxyphenol nuclear transport
563	AHMMPS	4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase			R970	4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase
564	AMPN	AMP nucleosidase			R1048	CMP nucleosidase
565	CHRPL	Chorismate pyruvate lyase			R1043	chorismate pyruvate lyase
566	CMPN	CMP nucleosidase			R1048	CMP nucleosidase
567	DIAT	diamine transaminase			R1095	diamine transaminase
568	DNTPPA	Dihydroneopterin triphosphate pyrophosphatase			R1097	dihydroneopterin triphosphate pyrophosphatase
569	DURIK1	deoxyuridine kinase ATPDeoxyuridine			R1090	deoxyuridine kinase (ATP:deoxyuridine)
570	DURIPP	deoxyuridine phosphorylase			R264	deoxyuridine phosphorylase
571	FA120ACPH	fatty acyl ACP hydrolase			R2217	fatty acyl ACP hydrolase
572	FA120ACPtm	fatty acyl ACP mitochondrial transport			R2216	fatty acyl ACP mitochondrial transport
573	FA140ACPH	fatty acyl ACP hydrolase			R2217	fatty acyl ACP hydrolase
574	FA140ACPtm	fatty acyl ACP mitochondrial transport			R2216	fatty acyl ACP mitochondrial transport
575	FA141ACPH	fatty acyl ACP hydrolase			R2217	fatty acyl ACP hydrolase
576	FA141ACPtm	fatty acyl ACP mitochondrial transport			R2216	fatty acyl ACP mitochondrial transport
577	FA160ACPH	fatty acyl ACP hydrolase			R2217	fatty acyl ACP hydrolase
578	FA160ACPtm	fatty acyl ACP mitochondrial transport			R2216	fatty acyl ACP mitochondrial transport
579	FA161ACPH	fatty acyl ACP hydrolase			R2217	fatty acyl ACP hydrolase
580	FA161ACPtm	fatty acyl ACP mitochondrial transport			R2216	fatty acyl ACP mitochondrial transport
581	FA180ACPH	fatty acyl ACP hydrolase			R2217	fatty acyl ACP hydrolase
582	FA180ACPtm	fatty acyl ACP mitochondrial transport			R2216	fatty acyl ACP mitochondrial transport
583	FA181ACPH	fatty acyl ACP hydrolase			R2217	fatty acyl ACP hydrolase
584	FA181ACPtm	fatty acyl ACP mitochondrial transport			R2216	fatty acyl ACP mitochondrial transport
585	FA182ACPH	fatty acyl ACP hydrolase			R2217	fatty acyl ACP hydrolase
586	FA182ACPtm	fatty acyl ACP mitochondrial transport			R2216	fatty acyl ACP mitochondrial transport
587	FACOAL100p	fatty acid CoA ligase decanoate peroxisomal			R1458	fatty-acid--CoA ligase (octadecanoate), peroxisome
588	FACOAL120p	fatty acid CoA ligase dodecanoate peroxisomal			R1458	fatty-acid--CoA ligase (octadecanoate), peroxisome
589	FACOAL140p	fatty acid CoA ligase tetradecanoate peroxisomal			R1458	fatty-acid--CoA ligase (octadecanoate), peroxisome
590	FACOAL141p	fatty acid CoA ligase tetradecenoate peroxisomal			R1457	fatty-acid--CoA ligase (hexadecenoate), peroxisome
591	FACOAL161p	fatty acid CoA ligase hexadecenoate peroxisomal			R1457	fatty-acid--CoA ligase (hexadecenoate), peroxisome
592	FACOAL80p	fatty acid CoA ligase octanoate peroxisomal			R1458	fatty-acid--CoA ligase (octadecanoate), peroxisome
593	FAS100ACPm	fatty acyl ACP synthase n C100ACP mitochondrial			R2218	fatty acyl ACP synthase n C100ACP mitochondrial
594	FAS120ACPm	fatty acyl ACP synthase n C120ACP mitochondrial			R2221	fatty acyl ACP synthase n C120ACP mitochondrial
595	FAS140ACPm	fatty acyl ACP synthase n C140ACP mitochondrial			R2224	fatty acyl ACP synthase n C140ACP mitochondrial
596	FAS141ACPm	fatty acyl ACP synthase n C141ACP mitochondrial			R2227	fatty acyl ACP synthase n C141ACP mitochondrial
597	FAS160ACPm	fatty acyl ACP synthase n C160ACP mitochondrial			R2230	fatty acyl ACP synthase n C160ACP mitochondrial
598	FAS161ACPm	fatty acyl ACP synthase n C161ACP mitochondrial			R2233	fatty acyl ACP synthase n C161ACP mitochondrial
599	FRUK	fructose 1 phosphate kinase			R1132	fructose-1-phosphate kinase
600	RNDR1	ribonucleoside diphosphate reductase ADP			R702	ribonucleoside-triphosphate reductase (ATP)
601	RNTR4	ribonucleoside triphosphate reductase UTP			R705	ribonucleoside-triphosphate reductase (UTP)
602	G6PDA	glucosamine 6 phosphate deaminase			R324	glucosamine-6-phosphate deaminase
603	GLUN	glutaminase			R333	glutaminase
604	GNNUC	gnnuc			R370	gnnuc
605	GSNK	guanosine kinase			R1154	guanosine kinase
606	DAGPYP_SC	diacylglycerol pyrophosphate phosphatase yeast specific			R2145	diacylglycerol pyrophosphate phosphatase, yeast-specific
607	PETOHM_SC	phosphatidylethanolamine N methyltransferase yeast specific			R2187	Phosphatidyl-N-methylethanolamine N-methyltransferase, yeast-specific
608	PMETM_SC	Phosphatidyl N methylethanolamine N methyltransferase yeast specific			R2187	Phosphatidyl-N-methylethanolamine N-methyltransferase, yeast-specific
609	INSK	insosine kinase			R1178	insosine kinase
610	IPCS124_SC	Inositol phosphorylceramide synthase ceramide 1 24C yeast specific			R2143	Inositol phosphorylceramide synthase (ceramide-1, 24C), yeast-specific
611	IPCS126_SC	Inositol phosphorylceramide synthase ceramide 1 26C yeast specific			R2148	Inositol phosphorylceramide synthase (ceramide-1, 26C), yeast-specific
612	IPCS224_SC	Inositol phosphorylceramide synthase ceramide 2 24C yeast specific			R2151	Inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific
613	IPCS226_SC	Inositol phosphoryceramide synthase ceramide 2 26C yeast specific			R2154	Inositol phosphoryceramide synthase (ceramide-2, 26C), yeast-specific
614	IPCS324_SC	Inositol phosphorylceramide synthase ceramide 3 24C yeast specific			R2157	Inositol phosphorylceramide synthase (ceramide-3, 24C), yeast-specific
615	IPCS326_SC	Inositol phosphorylceramide synthase ceramide 3 26C yeast specific			R2161	Inositol phosphorylceramide synthase (ceramide-3, 26C), yeast-specific
616	CHLSTI	cholestenol delta isomerase lumped reaction			R1040	cholestenol delta-isomerase, lumped reaction
617	NTRLASE	nitrilase			R2207	nitrilase
618	NTRLASE2	nitrilase			R2207	nitrilase
619	NTRLASE3	nitrilase			R2207	nitrilase
620	OHPHM6n	2 octaprenyl 6 hydroxyphenol methylase nuclear			R2242	2 octaprenyl 6 hydroxyphenol methylase nuclear
621	OPHBDC6	Octaprenyl hydroxybenzoate decarboxylase			R2247	Octaprenyl hydroxybenzoate decarboxylase
622	OPHHX6	2 Octaprenylphenol hydroxylase			R2248	2 Octaprenylphenol hydroxylase
623	PMDPHT	pyrimidine phosphatase			R1307	pyrimidine phosphatase
624	PUNP1	purine nucleoside phosphorylase Adenosine			R676	purine-nucleoside phosphorylase (adenosine)
625	PUNP2	purine nucleoside phosphorylase Deoxyadenosine			R678	purine-nucleoside phosphorylase (deoxyadenosine)
626	PUNP3	purine nucleoside phosphorylase Guanosine			R676	purine-nucleoside phosphorylase (adenosine)
627	PUNP4	purine nucleoside phosphorylase Deoxyguanosine			R679	purine-nucleoside phosphorylase (deoxyguanosine)
628	PUNP6	purine nucleoside phosphorylase Deoxyinosine			R680	purine-nucleoside phosphorylase (deoxyinosine)
629	PUNP7	purine nucleoside phosphorylase Xanthosine			R684	purine-nucleoside phosphorylase (xanthosine)
630	PYDXK	pyridoxal kinase			R1302	pyridoxal kinase
631	PYNP2r	pyrimidine nucleoside phosphorylase uracil			R1308	pyrimidine-nucleoside phosphorylase (uracil)
632	RNDR2	ribonucleoside diphosphate reductase GDP			R704	ribonucleoside-triphosphate reductase (GTP)
633	RNDR3	ribonucleoside diphosphate reductase CDP			R703	ribonucleoside-triphosphate reductase (CTP)
634	RNDR4	ribonucleoside diphosphate reductase UDP			R705	ribonucleoside-triphosphate reductase (UTP)
635	RNTR1	ribonucleoside triphosphate reductase ATP			R702	ribonucleoside-triphosphate reductase (ATP)
636	RNTR2	ribonucleoside triphosphate reductase GTP			R704	ribonucleoside-triphosphate reductase (GTP)
637	RNTR3	ribonucleoside triphosphate reductase CTP			R703	ribonucleoside-triphosphate reductase (CTP)
638	SPMDAT1	Spermidine acetyltransferase			R1324	spermidine acetyltransferase
639	TMDK1	thymidine kinase ATPthymidine			R1347	thymidine kinase (ATP:thymidine)
640	TMDPP	thymidine phosphorylase			R761	thymidine phosphorylase
641	TMN	thiaminase			R1338	thiaminase
642	DECH	decane hydroxylase			R2254	decanoate hydroxylase
643	HDCH	hexadecane hydroxylase			R2262	Hexadecanoate hydroxylase
644	DDCH	dodecane hydroxylase			R2258	Dodecanoate hydroxylase
645	ALDDHD	Aldehyde dehydrogenase (hydroxy-decanoate)			R2253	Aldehyde dehydrogenase (hydroxy-decanoate)
646	ALDDHDD	Aldehyde dehydrogenase (hydroxy-dodecanoate)			R2257	Aldehyde dehydrogenase (hydroxy-dodecanoate)
647	ALDDHHD	Aldehyde dehydrogenase (hydroxy-hexadecanoate)			R2261	Aldehyde dehydrogenase (hydroxy-hexadecanoate)
648	DCAFAO	Fatty alcohol oxidase (decanoate)			R2255	Fatty alcohol oxidase (decanoate)
649	DCAH	decanoate hydroxylase			R2254	decanoate hydroxylase
650	DDCAFAO	Fatty alcohol oxidase (dodecanoate)			R2259	Fatty alcohol oxidase (dodecanoate)
651	DDCAH	Dodecanoate hydroxylase			R2258	Dodecanoate hydroxylase
652	HDCAFAO	Fatty alcohol oxidase (hexadecanoate)			R2263	Fatty alcohol oxidase (hexadecanoate)
653	HDCAH	Hexadecanoate hydroxylase			R2262	Hexadecanoate hydroxylase
654	C10DCte	Decanedioate extracellular transport			R2256	Decanedioate extracellular transport
655	C10DCtp	Decanedioate peroxisomal transport			R2260	Dodecanedioate peroxisomal transport
656	C12DCte	Dodecanedioate extracellular transport			R2256	Decanedioate extracellular transport
657	C12DCtp	Dodecanedioate peroxisomal transport			R2260	Dodecanedioate peroxisomal transport
658	C16DCte	Hexadecanedioate extracellular transport			R2256	Decanedioate extracellular transport
659	C16DCtp	Hexadecanedioate peroxisomal transport			R2264	Hexadecanedioate peroxisomal transport
660	FACOAL160p	fatty acid CoA ligase hexadecanoate peroxisomal			R1457	fatty-acid--CoA ligase (hexadecenoate), peroxisome
661	FTHFI	5 Formyltetrahydrofolate10 Formyltetrahydrofolate isomerase			R990	5-formyltetrahydrofolate:10-formyltetrahydrofolate isomerase
662			xAMINOACID	Amino acid composition		
663			xLIPID	Lipids pool		
664			xMAINTENANCE	Non-growth associated maintenance (NGAM)		
665			xPOOL_AC_EM	Acyl-CoAs pool		
666			xPOOL_AC_LP	Acyl-CoAs pool		
667			xPOOL_AC_MM	Acyl-CoAs pool		
668			xPOOL_FA_EM	Fatty acids pool		
669			xPOOL_FA_EN	Fatty acids pool		
670			xPOOL_FA_LP	Fatty acids pool		
671			xPOOL_FA_MI	Fatty acids pool		
672			xPOOL_FA_MM	Fatty acids pool		
673			y000001	(R)-lactate:ferricytochrome-c 2-oxidoreductase		
674			y000002	(R)-lactate:ferricytochrome-c 2-oxidoreductase		
675			y000004	(S)-lactate:ferricytochrome-c 2-oxidoreductase		
676			y000006	1,6-beta-glucan synthase		
677			y000008	1-acyl-sn-gylcerol-3-phosphate acyltransferase		
678			y000009	1-acyl-sn-gylcerol-3-phosphate acyltransferase		
679			y000010	1-phosphatidylinositol-3-phosphate 5-kinase		
680			y000012	1-pyrroline-5-carboxylate dehydrogenase		
681			y000013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction		
682			y000014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase		
683			y000015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)		
684			y000016	2-aceto-2-hydroxybutanoate synthase		
685			y000020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase		
686			y000021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase		
687			y000022	2-hexaprenyl-6-methoxyphenol monooxygenase		
688			y000025	2-isopropylmalate synthase		
689			y000027	2-methylcitrate dehydratase		
690			y000028	2-methylcitrate synthase		
691			y000030	2-oxo-4-methyl-3-carboxypentanoate decarboxylation		
692			y000034	3',5'-cyclic-nucleotide phosphodiesterase		
693			y000035	3',5'-cyclic-nucleotide phosphodiesterase		
694			y000036	3',5'-cyclic-nucleotide phosphodiesterase		
695			y000037	3',5'-cyclic-nucleotide phosphodiesterase		
696			y000039	3-dehydroquinate dehydratase		
697			y000057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)		
698			y000065	3-phosphoshikimate 1-carboxyvinyltransferase		
699			y000073	4PP-IP5 depyrophosphorylation to IP6		
700			y000074	4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4		
701			y000075	5'-methylthioadenosine phosphorylase		
702			y000079	5'-phosphoribosylformyl glycinamidine synthetase		
703			y000082	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase		
704			y000083	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase		
705			y000086	5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase		
706			y000087	5-methylthioribose-1-phosphate isomerase		
707			y000088	5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4		
708			y000089	5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4		
709			y000092	6PP-IP5 depyrophosphorylation to IP6		
710			y000093	6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4		
711			y000095	acetaldehyde condensation		
712			y000096	acetohydroxy acid isomeroreductase		
713			y000097	acetolactate synthase		
714			y000100	acetyl-CoA C-acyltransferase (palmitoyl-CoA)		
715			y000101	acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)		
716			y000102	acetyl-CoA C-acyltransferase (myristoyl-CoA)		
717			y000104	acetyl-CoA C-acetyltransferase		
718			y000105	acetyl-CoA C-acyltransferase (lauroyl-CoA)		
719			y000106	acetyl-CoA C-acyltransferase (octanoyl-CoA)		
720			y000107	acetyl-CoA C-acyltransferase (decanoyl-CoA)		
721			y000108	acetyl-Coa carboxylase		
722			y000113	acetyl-CoA synthetase		
723			y000114	acetyl-CoA synthetase nuclear		
724			y000115	acetylglutamate kinase		
725			y000116	acid phosphatase (secreted)		
726			y000118	acteylornithine transaminase		
727			y000120	acyl-CoA oxidase (decanoyl-CoA)		
728			y000121	acyl-CoA oxidase (dodecanoyl-CoA)		
729			y000122	acyl-CoA oxidase (hexacosanoyl-CoA)		
730			y000123	acyl-CoA oxidase (hexadecanoyl-CoA)		
731			y000124	acyl-CoA oxidase (octadecanoyl-CoA)		
732			y000125	acyl-CoA oxidase (tetradecanoyl-CoA)		
733			y000127	acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane		
734			y000132	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane		
735			y000137	acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3		
736			y000149	adenylate kinase		
737			y000151	adenylosuccinate lyase (AICAR)		
738			y000156	alanine glyoxylate aminotransferase		
739			y000163	alcohol dehydrogenase (ethanol to acetaldehyde)		
740			y000165	mitochondrial alcohol dehydrogenase		
741			y000172	aldehyde dehydrogenase (3-aminopropanal, NAD)		
742			y000174	aldehyde dehydrogenase (acetylaldehyde, NAD)		
743			y000175	aldehyde dehydrogenase (acetylaldehyde, NADP)		
744			y000189	allantoate amidinohydrolase		
745			y000192	alpha 1,2-mannosyltransferase		
746			y000194	alpha,alpha-trehalase		
747			y000201	Aminobutyraldehyde dehydrogenase		
748			y000204	Ap4A hydrolase		
749			y000208	argininosuccinate synthase		
750			y000210	arginyl-tRNA synthetase		
751			y000214	aspartate carbamoyltransferase		
752			y000215	aspartate kinase		
753			y000217	aspartate transaminase		
754			y000218	aspartate transaminase		
755			y000219	aspartate-semialdehyde dehydrogenase		
756			y000221	Aspartyl-tRNA synthetase		
757			y000226	ATP synthase		
758			y000228	beta-1,4 mannosyltransferase		
759			y000230	biotin-[acetyl-CoA-carboxylase] ligase		
760			y000234	C-3 sterol dehydrogenase		
761			y000238	C-4 methyl sterol oxidase		
762			y000239	C-4 methyl sterol oxidase		
763			y000240	C-4 methyl sterol oxidase		
764			y000244	C-s24 sterol reductase		
765			y000249	CAAX farnesyltransferase		
766			y000251	cardiolipin synthase		
767			y000253	carnitine O-acetyltransferase		
768			y000254	carnitine O-acetyltransferase		
769			y000256	catalase		
770			y000257	CDP-diacylglycerol synthase		
771			y000258	CDP-diacylglycerol synthase		
772			y000260	ceramide-1 hydroxylase (24C)		
773			y000262	ceramide-1 hydroxylase (26C)		
774			y000269	ceramide-4 synthase (24C)		
775			y000270	ceramide-4 synthase (26C)		
776			y000275	choline/ethanolaminephosphotransferase		
777			y000277	cholinephosphotransferase		
778			y000280	cis-aconitate(3-) to isocitrate		
779			y000281	cis-prenyltransferase step 01		
780			y000282	cis-prenyltransferase step 02		
781			y000283	cis-prenyltransferase step 03		
782			y000284	cis-prenyltransferase step 04		
783			y000285	cis-prenyltransferase step 05		
784			y000286	cis-prenyltransferase step 06		
785			y000287	cis-prenyltransferase step 07		
786			y000288	cis-prenyltransferase step 08		
787			y000289	cis-prenyltransferase step 09		
788			y000290	cis-prenyltransferase step 10		
789			y000291	cis-prenyltransferase step 11		
790			y000292	cis-prenyltransferase step 12		
791			y000293	cis-prenyltransferase step 13		
792			y000294	cis-prenyltransferase step 14		
793			y000295	cis-prenyltransferase step 15		
794			y000296	cis-prenyltransferase step 16		
795			y000297	cis-prenyltransferase step 17		
796			y000298	cis-prenyltransferase step 18		
797			y000299	cis-prenyltransferase step 19		
798			y000301	citrate synthase, peroxisomal		
799			y000302	citrate to cis-aconitate(3-)		
800			y000303	citrate to cis-aconitate(3-), cytoplasmic		
801			y000311	cystathionine gamma-synthase		
802			y000319	D-arabinono-1,4-lactone oxidase		
803			y000336	diacylglycerol acyltransferase		
804			y000336_1	diacylglycerol acyltransferase		
805			y000337	diacylglycerol pyrophosphate phosphatase		
806			y000337_1	diacylglycerol pyrophosphate phosphatase		
807			y000337_2	diacylglycerol pyrophosphate phosphatase		
808			y000340	dihydroceramidase		
809			y000341	dihydroceramidase		
810			y000342	dihydroceramidase		
811			y000343	dihydroceramidase		
812			y000344	dihydrofolate reductase		
813			y000345	dihydrofolate reductase		
814			y000350	dihydropteroate synthase		
815			y000351	dihydropteroate synthase		
816			y000352	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)		
817			y000353	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)		
818			y000357	diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase		
819			y000358	diphosphoinositol-1,3,4,6-tetrakisphosphate synthase		
820			y000362	dolichyl-phosphate-mannose--protein mannosyltransferase		
821			y000373	farnesyltranstransferase		
822			y000381	fatty acid oxidation (C18:2)		
823			y000399	fatty-acid--CoA ligase (decanoate)		
824			y000436	ferrochelatase		
825			y000437	ferrocytochrome-c:hydrogen-peroxide oxidoreductase		
826			y000438	ferrocytochrome-c:oxygen oxidoreductase		
827			y000447	formate-tetrahydrofolate ligase		
828			y000452	fumarase, cytoplasmic		
829			y000463	glucan 1,4-alpha-glucosidase		
830			y000480	glutamyl-tRNA synthetase		
831			y000482	glutathione oxidoreductase		
832			y000484	glutathione peroxidase, mitochondria		
833			y000487	glycerol dehydrogenase (NADP-dependent)		
834			y000490	glycerol-3-phosphate dehydrogenase (fad)		
835			y000492	glycerol-3-phosphate dehydrogenase (NAD)		
836			y000493	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase		
837			y000494	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase		
838			y000495	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase		
839			y000496	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase		
840			y000497	glycerophosphodiester phosphodiesterase (glycerophosphocholine)		
841			y000499	glycinamide ribotide transformylase		
842			y000501	glycine cleavage system		
843			y000502	glycine hydroxymethyltransferase		
844			y000503	glycine hydroxymethyltransferase		
845			y000504	glycine-cleavage complex (lipoamide)		
846			y000505	glycine-cleavage complex (lipoamide)		
847			y000506	glycine-cleavage complex (lipoylprotein)		
848			y000507	glycine-cleavage complex (lipoylprotein)		
849			y000508	glycine-cleavage complex (lipoylprotein)		
850			y000509	glycine-cleavage system (lipoamide)		
851			y000518	GPI-anchor assembly, step 2		
852			y000519	GPI-anchor assembly, step 5		
853			y000520	GPI-anchor assembly, step 6		
854			y000521	GPI-anchor assembly, step 7		
855			y000522	GPI-anchor assembly, step 8		
856			y000523	GPI-anchor assembly, step 9		
857			y000526	guanine deaminase		
858			y000528	guanylate kinase		
859			y000530	heme O monooxygenase		
860			y000531	Heme O synthase		
861			y000532	hexaprenyldihydroxybenzoate methyltransferase		
862			y000540	histidyl-tRNA synthetase		
863			y000542	homoacontinate hydratase		
864			y000546	homoserine dehydrogenase (NADH)		
865			y000547	homoserine dehydrogenase (NADP)		
866			y000550	hydrogen peroxide reductase (thioredoxin)		
867			y000551	hydrogen peroxide reductase (thioredoxin)		
868			y000552	hydrogen peroxide reductase (thioredoxin)		
869			y000554	hydroxyacylglutathione hydrolase		
870			y000560	hydroxymethylglutaryl CoA synthase		
871			y000569	inorganic diphosphatase		
872			y000570	inosine monophosphate cyclohydrolase		
873			y000571	inositol-1,3,4,5,6-pentakisphosphate 2-kinase		
874			y000572	inositol-1,3,4,5-triphosphate 6-kinase, nucleus		
875			y000573	inositol-1,4,5,6- tetrakisphosphate 3-kinase, nucleus		
876			y000574	inositol-1,4,5-triphosphate 6-kinase, nucleus		
877			y000575	inositol-1,4,5-trisphosphate 3-kinase, nucleus		
878			y000576	inositolphosphotransferase		
879			y000577	inositolphosphotransferase		
880			y000578	inositolphosphotransferase		
881			y000579	inositolphosphotransferase		
882			y000580	inositolphosphotransferase		
883			y000581	inositolphosphotransferase		
884			y000582	inositolphosphotransferase		
885			y000583	inositolphosphotransferase		
886			y000584	inositolphosphotransferase		
887			y000585	inositolphosphotransferase		
888			y000586	IPC synthase		
889			y000587	IPC synthase		
890			y000588	IPC synthase		
891			y000589	IPC synthase		
892			y000590	IPC synthase		
893			y000591	IPC synthase		
894			y000592	IPC synthase		
895			y000593	IPC synthase		
896			y000594	IPC synthase		
897			y000595	IPC synthase		
898			y000596	IPS phospholipase C		
899			y000597	IPS phospholipase C		
900			y000598	IPS phospholipase C		
901			y000599	IPS phospholipase C		
902			y000600	IPS phospholipase C		
903			y000601	IPS phospholipase C		
904			y000602	IPS phospholipase C		
905			y000603	IPS phospholipase C		
906			y000604	IPS phospholipase C		
907			y000605	IPS phospholipase C		
908			y000606	IPS phospholipase C		
909			y000607	IPS phospholipase C		
910			y000608	IPS phospholipase C		
911			y000609	IPS phospholipase C		
912			y000610	IPS phospholipase C		
913			y000611	IPS phospholipase C		
914			y000612	IPS phospholipase C		
915			y000613	IPS phospholipase C		
916			y000614	IPS phospholipase C		
917			y000615	IPS phospholipase C		
918			y000616	IPS phospholipase C		
919			y000617	IPS phospholipase C		
920			y000618	IPS phospholipase C		
921			y000619	IPS phospholipase C		
922			y000620	IPS phospholipase C		
923			y000621	IPS phospholipase C		
924			y000622	IPS phospholipase C		
925			y000623	IPS phospholipase C		
926			y000624	IPS phospholipase C		
927			y000625	IPS phospholipase C		
928			y000626	IPS phospholipase C		
929			y000627	IPS phospholipase C		
930			y000628	IPS phospholipase C		
931			y000629	IPS phospholipase C		
932			y000630	IPS phospholipase C		
933			y000631	IPS phospholipase C		
934			y000632	IPS phospholipase C		
935			y000633	IPS phospholipase C		
936			y000634	IPS phospholipase C		
937			y000635	IPS phospholipase C		
938			y000636	IPS phospholipase C		
939			y000637	IPS phospholipase C		
940			y000638	IPS phospholipase C		
941			y000639	IPS phospholipase C		
942			y000640	IPS phospholipase C		
943			y000641	IPS phospholipase C		
944			y000642	IPS phospholipase C		
945			y000643	IPS phospholipase C		
946			y000644	IPS phospholipase C		
947			y000645	IPS phospholipase C		
948			y000646	IPS phospholipase C		
949			y000647	IPS phospholipase C		
950			y000648	IPS phospholipase C		
951			y000649	IPS phospholipase C		
952			y000650	IPS phospholipase C		
953			y000651	IPS phospholipase C		
954			y000652	IPS phospholipase C		
955			y000653	IPS phospholipase C		
956			y000654	IPS phospholipase C		
957			y000655	IPS phospholipase C		
958			y000661	isocitrate dehydrogenase (NADP+), peroxisomal		
959			y000664	isoleucine transaminase		
960			y000666	isoleucyl-tRNA synthetase		
961			y000668	itaconate-CoA ligase (ADP-forming)		
962			y000669	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate)		
963			y000673	L-4-hydroxyglutamate semialdehyde dehydrogenase		
964			y000675	L-allo-threonine aldolase		
965			y000676	L-allo-threonine dehydrogenase		
966			y000679	L-asparaginase		
967			y000682	L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase		
968			y000683	L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase		
969			y000688	L-lactaldehyde:NADP+ 1-oxidoreductase		
970			y000690	L-serine dehydrogenase		
971			y000693	L-threonine deaminase		
972			y000700	leucine transaminase		
973			y000702	leucyl-tRNA synthetase		
974			y000703	leukotriene A4 hydrolase		
975			y000704	leukotriene A4 hydrolase		
976			y000705	leukotriene A4 hydrolase		
977			y000706	leukotriene A4 hydrolase		
978			y000707	leukotriene A4 hydrolase		
979			y000708	leukotriene A4 hydrolase		
980			y000712	lysyl-tRNA synthetase		
981			y000714	malate dehydrogenase, cytoplasmic		
982			y000717	malate synthase		
983			y000718	malic enzyme (NAD)		
984			y000719	malic enzyme (NADP)		
985			y000724	methenyltetrahydrifikate cyclohydrolase		
986			y000728	methionyl-tRNA formyltransferase		
987			y000730	methionyl-tRNA synthetase		
988			y000733	methylenetetrahydrofolate dehydrogenase (NADP)		
989			y000734	methylisocitrate lyase		
990			y000739	mevalonate pyrophoshate decarboxylase		
991			y000759	N-acetyl-g-glutamyl-phosphate reductase		
992			y000761	N-acteylglutamate synthase		
993			y000766	NAD kinase		
994			y000767	NAD nucleosidase nuclear		
995			y000768	NAD synthase		
996			y000769	NAD synthase		
997			y000771	NADH kinase		
998			y000773	NADH:ubiquinone oxidoreductase		
999			y000775	NAPRtase		
1000			y000781	nicotinamidase		
1001			y000782	nicotinamide N-methyltransferase		
1002			y000784	nicotinamide-nucleotide adenylyltransferase		
1003			y000787	nicotinate-nucleotide diphosphorylase (carboxylating)		
1004			y000789	nucleoside diphosphatase		
1005			y000790	nucleoside diphosphatase		
1006			y000791	nucleoside diphosphatase		
1007			y000792	nucleoside diphosphatase		
1008			y000793	nucleoside diphosphatase		
1009			y000795	nucleoside diphosphate kinase		
1010			y000796	nucleoside diphosphate kinase		
1011			y000797	nucleoside diphosphate kinase		
1012			y000798	nucleoside diphosphate kinase		
1013			y000799	nucleoside diphosphate kinase		
1014			y000800	nucleoside diphosphate kinase		
1015			y000801	nucleoside diphosphate kinase		
1016			y000802	nucleoside diphosphate kinase		
1017			y000803	nucleoside diphosphate kinase		
1018			y000805	nucleoside triphosphatase		
1019			y000806	nucleoside triphosphatase		
1020			y000807	nucleoside triphosphatase		
1021			y000813	O-acetylhomoserine (thiol)-lyase		
1022			y000816	ornithine carbamoyltransferase		
1023			y000818	ornithine transacetylase		
1024			y000844	peroxisomal acyl-CoA thioesterase		
1025			y000845	peroxisomal acyl-CoA thioesterase		
1026			y000847	peroxisomal acyl-CoA thioesterase		
1027			y000848	peroxisomal acyl-CoA thioesterase		
